tid,id,number,title,length,artist,album,year,language
0,WoM5452845,0,L'enfant aux yeux d'Italie (De vous à elle en passant par moi),03:39,Daniel Balavoine,De vous à elle en passsant par moi,1975,
1,WoM15173118,004,Jalan Keluar (Menentukan Arah),04:22,Sheilao n 7,Menentukan Arah,2008,
2,WoM24638942,016,Gimme Dat (remix) (RYEot powRR),04:23,Rye Rye,RYEot powRR,2011,
3,WoM16891123,010,"Placebo Persuasion (More Specific, Less Pacific)",02:36,Caesura,"More Specific, Less Pacific",2002,
4,WoM5249936,018,"Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig (Tabu Recz)",04:00,Tabu Recz,Tabu Recz,,
5,WoM5835623,016,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),02:21,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,,
6,WoM31621031,007,À Tout À L'Heure (Ministry of Sound: Chillout Sessions XVI),04:00,Bibio,Ministry of Sound: Chillout Sessions XVI,2013,
7,WoM21999834,005,Sinister Thinking (Perfect Man),03:18,Rage,Perfect Man,1988,
8,WoM6446315,006,Wheels of Fire (Saints & Sinners),03:50,Saints & Sinners,Saints & Sinners,,
9,WoM394028,003,Conflict (QE2),02:52,Mike Oldfield,QE2,,
10,WoM18608635,033,Sea Breeze (full mix) (Massive - Rock/Pop),00:30,Frank Burgo & David Haig,Massive - Rock/Pop,,
11,WoM24045621,009,There's Something About Mary (bell hooks),04:15,BBU,bell hooks,2012,
12,WoM12527140,011,Der Weg Zum Licht (Mia Runa),07:09,Nihilistic Front,Mia Runa,2005,
13,WoM290049,015,Jingle Bells (A Legendary Performer),03:41,lGenn Miller,A Legendary Performer,1991,
14,WoM5401217,004,"Free Fall Lover (Mosaic: The Best of John Klemmer, Volume 1)",06:45,John Klemmer,"Mosaic: The Best of John Klemmer, Volume 1",,
15,WoM539517,015,Cultural Dub (Independant Intavenshan - the Island Anthology),03:29,Linton Kwesi Johnson,Independant Intavenshan - the Island Anthology,1998,
16,WoM977660,008,unk.,11:21,Guns N’ Roses,Revolution Calling,1991,
17,WoM3151935,005,Bella d'estate (Tutto Mango: Oro e platino),05:17,Mango,Tutto Mango: Oro e platino,2005,
18,WoM18665011,007,Oh Lord (Foxy Shazam),04:10,Foxy Shaazm,Foxy Shazam,2010,
